"eval/time","data/GRPO-s25-p8-n128-m32-ga4 - _step","data/GRPO-s25-p8-n128-m32-ga4 - _step__MIN","data/GRPO-s25-p8-n128-m32-ga4 - _step__MAX","data/GRPO-s25-p8-n128-m32-ga4 - eval/completions/mean_length","data/GRPO-s25-p8-n128-m32-ga4 - eval/completions/mean_length__MIN","data/GRPO-s25-p8-n128-m32-ga4 - eval/completions/mean_length__MAX","data/GRPO-s25-p8-n32-m32-ga16 - _step","data/GRPO-s25-p8-n32-m32-ga16 - _step__MIN","data/GRPO-s25-p8-n32-m32-ga16 - _step__MAX","data/GRPO-s25-p8-n32-m32-ga16 - eval/completions/mean_length","data/GRPO-s25-p8-n32-m32-ga16 - eval/completions/mean_length__MIN","data/GRPO-s25-p8-n32-m32-ga16 - eval/completions/mean_length__MAX","data/GRPO-s24-p8-n32-m32-ga16 - _step","data/GRPO-s24-p8-n32-m32-ga16 - _step__MIN","data/GRPO-s24-p8-n32-m32-ga16 - _step__MAX","data/GRPO-s24-p8-n32-m32-ga16 - eval/completions/mean_length","data/GRPO-s24-p8-n32-m32-ga16 - eval/completions/mean_length__MIN","data/GRPO-s24-p8-n32-m32-ga16 - eval/completions/mean_length__MAX","data/GRPO-s23-p8-n128-m32-ga4 - _step","data/GRPO-s23-p8-n128-m32-ga4 - _step__MIN","data/GRPO-s23-p8-n128-m32-ga4 - _step__MAX","data/GRPO-s23-p8-n128-m32-ga4 - eval/completions/mean_length","data/GRPO-s23-p8-n128-m32-ga4 - eval/completions/mean_length__MIN","data/GRPO-s23-p8-n128-m32-ga4 - eval/completions/mean_length__MAX","data/GRPO-s23-p8-n32-m32-ga16 - _step","data/GRPO-s23-p8-n32-m32-ga16 - _step__MIN","data/GRPO-s23-p8-n32-m32-ga16 - _step__MAX","data/GRPO-s23-p8-n32-m32-ga16 - eval/completions/mean_length","data/GRPO-s23-p8-n32-m32-ga16 - eval/completions/mean_length__MIN","data/GRPO-s23-p8-n32-m32-ga16 - eval/completions/mean_length__MAX","data/GRPO-s22-p8-n128-m32-ga4 - _step","data/GRPO-s22-p8-n128-m32-ga4 - _step__MIN","data/GRPO-s22-p8-n128-m32-ga4 - _step__MAX","data/GRPO-s22-p8-n128-m32-ga4 - eval/completions/mean_length","data/GRPO-s22-p8-n128-m32-ga4 - eval/completions/mean_length__MIN","data/GRPO-s22-p8-n128-m32-ga4 - eval/completions/mean_length__MAX","data/GRPO-s22-p8-n32-m32-ga16 - _step","data/GRPO-s22-p8-n32-m32-ga16 - _step__MIN","data/GRPO-s22-p8-n32-m32-ga16 - _step__MAX","data/GRPO-s22-p8-n32-m32-ga16 - eval/completions/mean_length","data/GRPO-s22-p8-n32-m32-ga16 - eval/completions/mean_length__MIN","data/GRPO-s22-p8-n32-m32-ga16 - eval/completions/mean_length__MAX","data/GRPO-s21-p8-n128-m32-ga4 - _step","data/GRPO-s21-p8-n128-m32-ga4 - _step__MIN","data/GRPO-s21-p8-n128-m32-ga4 - _step__MAX","data/GRPO-s21-p8-n128-m32-ga4 - eval/completions/mean_length","data/GRPO-s21-p8-n128-m32-ga4 - eval/completions/mean_length__MIN","data/GRPO-s21-p8-n128-m32-ga4 - eval/completions/mean_length__MAX","data/GRPO-s21-p8-n32-m32-ga16 - _step","data/GRPO-s21-p8-n32-m32-ga16 - _step__MIN","data/GRPO-s21-p8-n32-m32-ga16 - _step__MAX","data/GRPO-s21-p8-n32-m32-ga16 - eval/completions/mean_length","data/GRPO-s21-p8-n32-m32-ga16 - eval/completions/mean_length__MIN","data/GRPO-s21-p8-n32-m32-ga16 - eval/completions/mean_length__MAX","data/GRPO-s12-p8-n128-m32-ga4 - _step","data/GRPO-s12-p8-n128-m32-ga4 - _step__MIN","data/GRPO-s12-p8-n128-m32-ga4 - _step__MAX","data/GRPO-s12-p8-n128-m32-ga4 - eval/completions/mean_length","data/GRPO-s12-p8-n128-m32-ga4 - eval/completions/mean_length__MIN","data/GRPO-s12-p8-n128-m32-ga4 - eval/completions/mean_length__MAX"
"500.46851388399955","","","","","","","","","","","","","341","341","341","322.54437255859375","322.54437255859375","322.54437255859375","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"519.2354990410022","","","","","","","","","","","","","","","","","","","193","193","193","372.2774963378906","372.2774963378906","372.2774963378906","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"520.5505408729987","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","394","394","394","327.61712646484375","327.61712646484375","327.61712646484375","","","","","",""
"526.4820535079925","193","193","193","431.79986572265625","431.79986572265625","431.79986572265625","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"527.7480701449895","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","394","394","394","298.9628601074219","298.9628601074219","298.9628601074219","","","","","","","","","","","","","","","","","",""
"531.151971187006","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","193","193","193","338.1069030761719","338.1069030761719","338.1069030761719","","","","","","","","","","","","","","","","","","","","","","","",""
"537.5039840559984","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","193","193","193","446.8165283203125","446.8165283203125","446.8165283203125"
"546.2996873879965","","","","","","","394","394","394","308.1933288574219","308.1933288574219","308.1933288574219","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"616.2738493549914","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","215","215","215","404.6034851074219","404.6034851074219","404.6034851074219","","","","","","","","","","","",""
"622.2736688369987","","","","","","","","","","","","","","","","","","","232","232","232","410.15618896484375","410.15618896484375","410.15618896484375","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"626.2948656359949","","","","","","","452","452","452","294.41546630859375","294.41546630859375","294.41546630859375","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"634.6091642819956","232","232","232","405.9734802246094","405.9734802246094","405.9734802246094","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"642.1011559899998","","","","","","","","","","","","","452","452","452","396.8104553222656","396.8104553222656","396.8104553222656","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"643.9857910540013","","","","","","","","","","","","","","","","","","","","","","","","","505","505","505","206.34495544433594","206.34495544433594","206.34495544433594","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"653.3787917840018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","232","232","232","350.6482238769531","350.6482238769531","350.6482238769531","","","","","","","","","","","","","","","","","","","","","","","",""
"660.187756278996","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","232","232","232","494.6353454589844","494.6353454589844","494.6353454589844"
"661.6466325580004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","505","505","505","356.309326171875","356.309326171875","356.309326171875","","","","","",""
"679.6083295029894","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","505","505","505","414.6512451171875","414.6512451171875","414.6512451171875","","","","","","","","","","","","","","","","","",""
"721.5745504719962","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","254","254","254","469.44732666015625","469.44732666015625","469.44732666015625"
"723.3356942829996","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","271","271","271","342.373779296875","342.373779296875","342.373779296875","","","","","","","","","","","","","","","","","","","","","","","",""
"732.8581718929927","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","254","254","254","364.1804504394531","364.1804504394531","364.1804504394531","","","","","","","","","","","",""
